region,section,row_type,level,row_index,description,budget_anterieur,restes_a_realiser_n1,propositions_nouvelles,vote_assemblee,total_budget
Occitanie,investment_revenue,data,1,5,-Financement par le tiers de l’opération confiée à la collectivité,9385370,0,6140000,0,6140000
Occitanie,investment_revenue,data,0,6,92 Opérations non ventilées (sauf 922-1068),1679384535.49,0,1901128362.87,0,1901128362.87
Occitanie,investment_revenue,data,0,7,954 Produit des cessions d'immobilisations,3800000,0,120000,0,120000
Occitanie,investment_revenue,data,0,8,951 Virement de la section de fonctionnement,0,,0,0,0
Occitanie,investment_revenue,data,0,9,922-1068 Excédents de fonctionnement capitalisés,0,,0,0,0
Occitanie,investment_revenue,data,0,10,001 Solde exécution invest. reporté,0,,0,0,0
Occitanie,operating_expense,section_header,0,11,DEPENSES DE FONCTIONNEMENT,2997680068.49,0,3090075837.41,0,3090075837.41
Occitanie,operating_expense,data,0,12,93 Services ventilés,1978605282.53,0,2018479614.38,0,2018479614.38
Occitanie,operating_expense,data,1,12,-en AE/CP,1541737062.53,0,1585309002.38,0,1585309002.38
Occitanie,operating_expense,data,1,12,-hors AE/CP,436868220,0,433170612,0,433170612
Occitanie,operating_expense,data,0,13,94 Services communs non ventilés,1019074785.96,0,1071596223.03,0,1071596223.03
Occitanie,operating_expense,data,0,14,953 Virement à la section d'investissement,0,,0,0,0
Occitanie,operating_expense,data,0,15,002 Résultat de fonctionnement reporté,0,,0,0,0
Occitanie,operating_revenue,section_header,0,16,RECETTES DE FONCTIONNEMENT,2997680068.49,0,3090075837.41,0,3090075837.41
Occitanie,operating_revenue,data,0,17,93 Services ventilés,358475533,0,397739175,0,397739175
Occitanie,operating_revenue,data,0,18,94 Services communs non ventilés,2639204535.49,0,2692336662.41,0,2692336662.41
Occitanie,operating_revenue,data,0,19,002 Résultat de fonctionnement reporté,0,,0,0,0
PACA,unknown,data,0,0,TOTAL,2060878550,0,2282313386,2282313386,2282313386
